"","350","1000","2500"
"YoloAirport",56834.6393595307,76603.9977115127,79649.8830383047
"Oakdale",83.1698164575249,4074.17250407229,6783.6876675152
"Spiva",18079.4104461246,41535.8423993716,50950.0951195159
"Hatanaka",1325.81672260791,30160.9717061991,45337.6299768596
"Rominger",2811.20976999743,65136.452159496,106349.74221919
"Joe",0,0,0
"BC1",2570.89431268809,57301.8516568829,86322.8071126243
"Barger",14.3503909397034,1663.99431586302,2905.49742547377
"Turkovich",4.42397118123096,512.979955043806,895.713359409172
"Johnston",0,0,0
"DQU",3125.11612690865,30253.9894493624,40651.4727296016
"Maria",0,0,0
"Berm",5805.50343995988,120689.516006019,186382.992301699
"MC1",47223.3283971839,253828.552486535,375434.252481987
"CR101Control",0,0,0
"Tractor",22676.8701676147,671914.84059137,1083498.74522458
"Barn",2515.51389615441,31625.4657032674,46208.9905598284
"Loop",59807.7027049591,696008.124351765,1019083.14265988
"HC1",2117.92832544174,218312.717877942,379578.610438967
"Harlan",0,0,0
"Gilmer",0,0,0
"Hrdy",0,0,0
"FongWest",167649.639770713,899515.018402767,1260267.01886041
"MullerB",1631.49743066717,117221.267146541,200413.595406685
"MullerM",0,0,0
"Gregory",21027.3286050293,57441.3595627178,68413.8013712847
"USS",0,0,0
"Fong",42678.1553737476,915992.067532985,1452297.39162144
"CR29",0,0,0
"RLong",481883.670131012,2190635.7753377,3012096.68841649
"BC2",58625.8826090811,379918.052587242,521922.848061427
"Butler",1779.89906750996,24516.9532460189,35789.8568316247
"CircleG",0,0,0
"Chamberlain",0,0,0
"Best",573357.02005412,3512798.59053129,5003258.38784395
"Sperandio",5043.49163832248,57273.8164621893,78450.6007189341
"Zamora",0,0,0
"CR101",0,0,0
"H16",17061.9457269655,41222.1456136255,51335.6193353564
