"","350","1000","2500"
"YoloAirport",5181.71198839118,8408.67247774501,9946.93004583028
"Oakdale",24812.9125957913,68133.079025791,83508.4917831324
"Spiva",0,0,0
"Hatanaka",25.5714780777182,2965.13135762824,5177.41042962169
"Rominger",997.496164977458,27971.2882509736,43641.5039350534
"Joe",0,0,0
"BC1",0,0,0
"Barger",54728.4776753749,132207.405741447,164274.837066448
"Turkovich",19222.492131395,44183.2575034183,55424.8685874962
"Johnston",0,0,0
"DQU",351.597593688067,14181.4841952898,23185.930745788
"Maria",0,0,0
"Berm",703.287677756934,54195.7986946128,93009.4506694997
"MC1",6488.60746430521,28520.7308230674,38787.739603811
"CR101Control",0,0,0
"Tractor",15891.8107225514,104330.073517049,150918.221914014
"Barn",0,0,0
"Loop",2502.76946013606,98006.9563440279,159734.638822961
"HC1",17867.4943199967,75093.8178566098,106312.95369246
"Harlan",0,0,0
"Gilmer",12782.1699262941,88453.4639107856,116171.064318407
"Hrdy",683.71894290789,14949.4833681278,22289.2389615132
"FongWest",106561.677407743,578320.142015252,792754.420071093
"MullerB",5235.70596524619,15127.8430751362,20613.8076903353
"MullerM",5601.71433564793,40453.9194124167,54934.9731172257
"Gregory",12464.4402094841,32747.898631708,42159.8073277594
"USS",25613.6961700724,65275.8222635835,80505.4944737715
"Fong",74683.222241342,548267.837317106,836855.159307207
"CR29",74.1190087772499,1082.79784741257,1492.98634784897
"RLong",1491.23987008383,24931.966591628,37448.0851929097
"BC2",55966.0753004244,153473.717287175,201022.523292956
"Butler",0,0,0
"CircleG",0,0,0
"Chamberlain",11.546985080421,1338.92641809609,2337.89696490601
"Best",14303.036561934,71375.0058758306,94006.2377696432
"Sperandio",1461.42942026102,44168.2657444944,73084.9290725434
"Zamora",438.498071266998,24141.1445157583,40827.1701521129
"CR101",0,0,0
"H16",98.406581240418,3715.82288612713,6031.98053826753
