"GenusSpecies","degree","proportional.generality","d","r.degree","MeanITD"
"Agapostemon texanus",12,0.460851662004963,0.151779522477565,21,1.980487805
"Andrena angustitarsata",3,0.14128490368861,0.678228338125186,4,1.804878049
"Andrena auricoma",8,0.413986815540576,0.44139659388801,17,1.619512195
"Andrena candida",16,0.64305966491209,0.546995619350874,29.5,1.648780488
"Andrena cerasifolii",4,0.165074648220914,0.295911213801957,4.5,2.563739771
"Andrena chlorogaster",6,0.254885323247981,0.302151381087197,14,1.23902439
"Andrena cressonii infasciata",6,0.297748878068803,0.568319465126698,8.25,2.146341463
"Andrena knuthiana",7,0.346100129686506,0.525757019167579,11,1.36487636
"Andrena melanochroa",2,0.109251775612294,0.56190827103024,3,NA
"Andrena misella",1,0.0546258878061469,0.594951496458831,1,1.926829268
"Andrena nigrocaerulea",1,0.0546258878061469,0,1,1.912195122
"Andrena orthocarpi",1,0.0546258878061469,0,1,1.482926829
"Andrena piperi",5,0.218503551224588,0.335093456472852,11,1.375609756
"Andrena scurra",1,0.0546258878061469,0.101926040916266,1,1.96104424
"Andrena semipunctata",1,0.0546258878061469,0.429425164054193,1,1.950819672
"Andrena subaustralis",1,0.0546258878061469,0.524865651283999,1,2.109944665
"Andrena subchalybea",2,0.10323645887424,0.372790186232526,2.5,1.56097561
"Andrena w-scripta",1,0.0546258878061469,0.72311572091137,1,1.736585366
"Anthidiellum notatum robertsoni",8,0.166523011580851,0.391629922906763,16,2.183739771
"Anthidium illustre robertsoni",1,0.0546258878061469,0.500973889692508,1,NA
"Anthidium manicatum",1,0.0546258878061469,0.364698373076037,1,2.241171223
"Anthidium utahense robertsoni",1,0.0546258878061469,0.764713265405256,1,NA
"Anthophora urbana",25,0.336773827274362,0.566184449530713,37.1,2.975609756
"Ashmeadiella aridula astragali",15,0.477143978262737,0.212658704120172,55.5,1.314240528
"Ashmeadiella bucconis denticulata",8,0.289187272636056,0.474270346727479,10.25,1.5228916
"Ashmeadiella cactorum basalis",2,0.10323645887424,0.847967406481634,2.5,1.2081632
"Ashmeadiella timberlakei solida",1,0.0546258878061469,0.72311572091137,1,1.208
"Bombus californicus",20,0.70326463093925,0.534933110642766,24.1666666666667,3.32195102
"Bombus crotchii",4,0.10567622302187,0.582975431384253,7,5.3
"Bombus melanopygus",11,0.384066074377385,0.372871846134739,29,3.86
"Bombus vandykei",5,0.260139575304523,0.3788980559883,13,3.6285714
"Bombus vosnesenskii",26,0.747517385674229,0.409367934044529,28.5714285714286,3.551219512
"Calliopsis fracta",1,0.0546258878061469,0.875163476715182,1,1.458536585
"Calliopsis hesperia equina",2,0.10323645887424,0.382608249380508,2.5,1.2705572
"Calliopsis scitula",1,0.0546258878061469,0.464367790929353,1,1.4081632
"Calliopsis scutellaris",1,0.0546258878061469,0.545220269389861,1,1.6625
"Ceratina acantha",33,0.429590415020046,0.199420345079434,41.3333333333333,1.154098361
"Ceratina arizonensis",12,0.270535140041078,0.306664288089327,18.25,0.852459016
"Ceratina dallatorreana",13,0.197222546299776,0.135653669873236,29,1.285245902
"Ceratina nanula",13,0.226378427206317,0.125172870680816,21.1666666666667,1.02295082
"Ceratina punctigena",1,0.0546258878061469,0.383846843780096,1,1.619512195
"Ceratina timberlakei",1,0.0546258878061469,0.6665981066661,1,1.264
"Coelioxys apacheiorum",1,0.0546258878061469,0.154650576175055,1,2.3469388
"Coelioxys gilensis",3,0.163877663418441,0.307715718738545,6,2
"Coelioxys novomexicana",3,0.130069787652262,0.169175688060593,4,2.55170892
"Coelioxys octodentata",3,0.150191653828941,0.152928699609045,3.5,2.29954924
"Colletes fulgidus",1,0.0546258878061469,0.622958969809348,1,NA
"Colletes hyalinus",1,0.0546258878061469,0.950973809697643,1,2.16842874
"Diadasia chionura",1,0.0546258878061469,0.290665032303621,1,NA
"Diadasia conociata",2,0.109251775612294,0.106188650571933,3,NA
"Diadasia consociata",2,0.0900991138665043,0.194896603061176,2,1.790731707
"Diadasia diminuta",1,0.0546258878061469,0.795156360993398,1,2.232
"Diadasia enavata",16,0.570300201402105,0.189206763512932,34,2.815121951
"Diadasia ochracea",1,0.0546258878061469,0.527200662797877,1,2.1166665
"Dianthidium ulkei",1,0.0546258878061469,0.311742814813486,1,2.019514961
"Dufourea sp. 1",1,0.0546258878061469,0.975585571293084,1,NA
"Eucera actuosa",10,0.276087162430051,0.638375656210063,12.25,2.731707317
"Eucera frater",2,0.0774273441556802,0.786559520887257,2,NA
"Eucera frater albopilosa",1,0.0546258878061469,0.425313675880232,1,3.9
"Habropoda tristissima",1,0.0546258878061469,0.711249878751029,1,4.26
"Halictus farinosus",2,0.109251775612294,0.298592181617959,3,2.126829268
"Halictus ligatus",52,0.658157843485201,0.213103237268823,80.5714285714286,1.531707317
"Halictus tripartitus",89,0.524766793341655,0.147213931970152,113.045454545455,1.2915664
"Heriades occidentalis",3,0.154505342784248,0.275919253635997,5,1.396721312
"Hesperapis ilicifoliae",2,0.109251775612294,0.574990815611939,3,1.423168092
"Hoplitis producta gracilis",7,0.346100129686506,0.401549600411368,11,1.26557377
"Hoplitis sambuci",2,0.109251775612294,0.719113586398186,2,2.234146342
"Hylaeus bisinuatus",4,0.159820410816239,0.105952441692426,7,1.1461212
"Hylaeus calvus",5,0.212403073800134,0.761238125921316,6,1.160655738
"Hylaeus conspicuus",8,0.260242633862163,0.319794159575078,16,1.1518072
"Hylaeus episcopalis",1,0.0546258878061469,0.154650576175055,1,1.277551
"Hylaeus leptocephalus",2,0.10323645887424,0.22016362225976,2.5,1.144764029
"Hylaeus mesillae",32,0.554619592785264,0.262322418488039,46.4,0.94375
"Hylaeus rudbeckiae",4,0.180882570694749,0.399978620616445,4.5,0.966990291
"Hylaeus verticalis",3,0.163877663418441,0.624040737106799,6,1.366472776
"Lasioglossum (Dialictus) brunneiiventre",10,0.260414384180426,0.222674816342495,14.1666666666667,0.929984134
"Lasioglossum (Dialictus) diversopunctatum",23,0.548219655965596,0.0861364602367607,48,1.298360656
"Lasioglossum (Dialictus) impavidum",5,0.187687016961186,0.192744608985423,9.5,1.016393443
"Lasioglossum (Dialictus) incompletum",101,0.72887304130429,0.110062502665424,133.033333333333,0.941463414
"Lasioglossum (Dialictus) megastictum",5,0.154146003915991,0.15996548296224,9.5,1.13548388
"Lasioglossum (Dialictus) punctatoventre",10,0.415041317161379,0.380907969776436,18,1.205107183
"Lasioglossum (Dialictus) sp. BM",1,0.0546258878061469,0.649794190863663,1,NA
"Lasioglossum (Dialictus) tegulare group",37,0.417604250085959,0.123769583582184,43.5454545454545,0.87804878
"Lasioglossum (Evylaeus) diatretum",2,0.10323645887424,0.154546769082256,2.5,1.239754098
"Lasioglossum (Evylaeus) granosum",2,0.109251775612294,0.145578163819871,3,1.568800091
"Lasioglossum (Evylaeus) kincaidii",8,0.289053028562361,0.187930416361169,29,1.445783
"Lasioglossum (Evylaeus) nigrescens",3,0.163877663418441,0.138202970788224,6,1.095081967
"Lasioglossum (Evylaeus) sp. 4",1,0.0546258878061469,0,1,NA
"Lasioglossum (Evylaeus) sp. B",1,0.0546258878061469,0.383846843780096,1,1.443902439
"Lasioglossum mellipes",2,0.109251775612294,0.342169998159105,3,1.78313252
"Lasioglossum olympiae",1,0.0546258878061469,0.267796527561043,1,NA
"Lasioglossum sisymbrii",4,0.18408499125877,0.427434423122399,5,1.91999986
"Lasioglossum titusi",7,0.186147507417426,0.397762716289828,9.25,1.89832501
"Megachile angelarum",16,0.508519229759836,0.483644898335084,28.25,2.165853659
"Megachile apicalis",26,0.646848198871192,0.301499066456492,38.5,2.312195122
"Megachile brevis",10,0.546258878061469,0.438670336361639,55,2.45783135
"Megachile coquilletti",13,0.463865114629288,0.313174916739167,33.25,3.36
"Megachile fidelis",7,0.342819978874656,0.186268513604676,7.16666666666667,2.6
"Megachile frugalis",5,0.260139575304523,0.20242451038461,13,2.653658537
"Megachile gentilis",14,0.342210998255488,0.302110994167964,54.5,2.6466668
"Megachile lippiae",4,0.153556712331259,0.201198784992234,6,3.095238
"Megachile montivaga",6,0.313680829844822,0.263745044349655,18.5,2.576422778
"Megachile occidentalis",1,0.0546258878061469,0.339463126745417,1,2.712716908
"Megachile onobrychidis",28,0.706556669560742,0.286555324941409,33.5555555555556,2.575609756
"Megachile parallela",5,0.179805807573188,0.240542625319239,7,3.289221853
"Megachile prosopidis",1,0.0546258878061469,0.364698373076037,1,NA
"Megachile rotundata",14,0.554607166736405,0.230285136811018,46,2.195121951
"Melissodes agilis",20,0.257634733471714,0.446625694967734,21.3333333333333,2.6000002
"Melissodes communis alopex",1,0.0546258878061469,0.445000367899652,1,2.79375
"Melissodes communis aloplex",1,0.0546258878061469,0.445000367899652,1,NA
"Melissodes lupina",27,0.585873787199566,0.229982767163557,39.25,2.204878049
"Melissodes robustior",13,0.255257009296449,0.4049553593323,37.5,2.762812156
"Melissodes stearnsi",11,0.337965601236623,0.303555058265107,26,2.03902439
"Melissodes tepida timberlakei",11,0.400072622970783,0.299584475441966,17.25,2.214634146
"Nomada sp. 3",4,0.189229626177607,0.251772122517615,7,2.067705195
"Nomada sp. 3M",1,0.0546258878061469,0.622958969809348,1,NA
"Nomada sp. A",1,0.0546258878061469,0.081388995840777,1,1.583333333
"Nomada sp. AM",1,0.0546258878061469,0.0911934253201067,1,NA
"Nomada sp. CK-1",1,0.0546258878061469,0.0109855154257434,1,NA
"Nomada sp. CK-1M",1,0.0546258878061469,0.513825856417269,1,NA
"Nomada sp. CK-2M",1,0.0546258878061469,0,1,NA
"Nomada sp. CKM-2",1,0.0546258878061469,0,1,NA
"Osmia aglaia",7,0.346100129686506,0.65092708872362,11,2.195121951
"Osmia atrocyanea",3,0.14128490368861,0.603387315348919,4,2.819512195
"Osmia coloradensis",3,0.154505342784248,0.343455109540513,5,2.312195122
"Osmia cyanella",2,0.109251775612294,0.666676118952428,3,2.448780488
"Osmia gabrielis",1,0.0546258878061469,0.595084984611091,1,NA
"Osmia gaudiosa",7,0.340879276636243,0.47451068941461,22,1.690454133
"Osmia granulosa",6,0.327755326836881,0.335327997583417,21,2.058536585
"Osmia laeta",4,0.185140532267479,0.529651891726103,4.25,1.951219512
"Osmia lignaria propinqua",4,0.148892738451431,0.482312917706572,7,2.84000008
"Osmia nemoris",4,0.218503551224588,0.455678225896555,10,2.214634146
"Osmia regulina",8,0.300835926567413,0.48276420211604,20.5,1.975668525
"Osmia sp. CK-BR",2,0.10323645887424,0.636533370832041,2.5,NA
"Osmia sp. MG",1,0.0546258878061469,0,1,NA
"Osmia spp.",2,0.109251775612294,0.477019071313838,3,NA
"Osmia texana",2,0.0857185379968966,0.492811481118735,2,2.80048204
"Osmia trevoris",1,0.0546258878061469,0.628304263788317,1,NA
"Peponapis pruinosa",6,0.218503551224588,0.641352749951184,12,3.131707317
"Sphecodes sp. 1M",1,0.0546258878061469,0.154650576175055,1,NA
"Sphecodes sp. AM",1,0.0546258878061469,0.0109855154257434,1,NA
"Sphecodes sp. B",2,0.10323645887424,0.00812735649412375,2.5,0.98
"Sphecodes spp.",3,0.154505342784248,0.305256203362457,5,NA
"Stelis laticincta",4,0.173165857436084,0.143613031124946,7,2.292682927
"Stelis montana",1,0.0546258878061469,0.622958969809348,1,2.292682927
"Svastra obliqua expurgata",11,0.463545780936605,0.204447413525244,11.5,3.336817663
"Triepeolus concavus",4,0.218503551224588,0.102805229153525,10,2.7125
"Triepeolus heterurus",11,0.415769937625671,0.259539405127164,12.5,1.653012
"Triepeolus melanarius",3,0.108592238190988,0.223785914911457,3.5,1.78213272
"Triepeolus sp. 1M",1,0.0546258878061469,0.274143619546656,1,NA
"Triepeolus sp. A",1,0.0546258878061469,0.311742814813486,1,1.666666667
"Triepeolus sp. EM",2,0.10323645887424,0.341951588688522,2.5,NA
"Triepeolus sp. FM",2,0.109251775612294,0,3,NA
"Triepeolus sp. nr. lestes",3,0.163877663418441,0.179595424341359,6,NA
"Triepeolus subnitens",4,0.204432495890791,0.297203351036882,4,2.4283334
"Triepeolus timberlakei",4,0.206472917748481,0.106235796263398,5,1.642818815
"Triepeolus utahensis",4,0.189229626177607,0.110072437410273,7,NA
"Xeromelecta californica",2,0.109251775612294,0.194399609588597,3,2.554336154
"Xylocopa tabaniformis orpifex",8,0.353090334612784,0.535162422723629,9,5.84
"Xylocopa varipuncta",4,0.120812283047241,0.514617672318891,7,6.945
"Achillea millefolium",10,0.459792202274213,0.112688366175585,22.5,NA
"Acmispon americanus",3,0.244001132781209,0.777071399908131,3.5,NA
"Acmispon glaber",7,0.509605399918284,0.584692157275734,15,NA
"Adenostoma fasciculatum",1,0.0887451343938172,0.919085021193271,1,NA
"Aesculus californica",7,0.561375532227884,0.228638342307213,9.25,NA
"Alyssum sp.",2,0.155726886868906,0.16042198501102,2,NA
"Ambrosia sp.",1,0.0887451343938172,0.0890096673946611,1,NA
"Ammi visnaga",16,0.639444490732541,0.110292801995022,20.5,NA
